REVIEWERID,STARTDATE,STARTYEAR,TYPE,NCAT,Top10,Top50,Top100,Top200,Top500,Top1000,Lead,Advisor,avg_viewership,avg_content,avg_centrality,avg_enhcontent
0,12/12/2003,2003,0,2,0,0,0,0,1,0,0,0,1280.785714,16.08710746,0.00740703,2389.14921
1,12/15/2006,2006,0,1,0,0,0,0,0,0,0,0,63.03571429,11.56547558,0.003181166,759.9884965
2,12/4/2000,2000,0,1,0,0,0,0,1,0,0,0,247.1071429,32.6538367,0.005651563,2814.729149
3,5/21/2003,2003,0,2,0,0,0,0,0,1,0,1,411.0357143,50.81450798,0.007554594,2378.482672
4,6/13/2007,2007,0,1,0,0,0,0,0,0,0,1,114.3571429,2.416685786,0.004541516,1349.151999
5,1/5/2000,2000,1,2,0,0,0,0,1,0,0,0,1045.25,104.8132386,0.004649954,2089.696323
6,3/25/2000,2000,0,1,0,1,0,0,0,0,1,1,2072.357143,34.02340209,0.010277862,1627.212152
7,12/21/1999,1999,1,3,1,0,0,0,0,0,0,1,8780.642857,72.06690293,0.01094845,2729.607504
8,1/19/2003,2003,1,3,0,1,0,0,0,0,0,1,5431.071429,16.58199324,0.008193933,2941.090962
9,10/3/2005,2005,0,3,0,0,0,0,1,0,0,1,1186.428571,76.06197464,0.0075622,1099.211698
10,4/6/2002,2002,0,3,0,0,0,0,1,0,0,0,287.8928571,47.92916688,0.004232188,802.9522828
11,12/10/2006,2006,0,3,0,0,0,0,0,0,0,0,252.4642857,2.632084881,0.005423912,1607.336284
12,11/26/2006,2006,0,2,0,0,0,0,0,0,0,0,96.67857143,21.2161618,0.003262274,912.4968008
13,3/18/2006,2006,0,1,0,0,0,0,0,0,0,0,24.28571429,15.65631081,0.002610448,524.7898711
14,4/13/2001,2001,0,1,0,0,0,0,1,0,1,0,417.4285714,18.1204155,0.006055652,2057.64383
15,12/29/1999,1999,0,1,0,0,0,0,0,0,0,1,117.0714286,7.677434942,0.004171626,1202.768059
16,4/27/2001,2001,1,1,0,0,0,1,0,0,0,0,1459.035714,5.835371361,0.004082968,1205.007579
17,2/21/2000,2000,0,2,0,0,0,0,0,1,0,1,285,5.509546308,0.005057228,2597.401254
18,3/8/2008,2008,0,1,0,0,0,0,0,0,0,0,74.57142857,9.958665891,0.002848873,942.3960316
19,7/20/2000,2000,0,3,0,0,0,0,1,0,0,1,500.2857143,63.28212051,0.006927522,2261.242554
20,2/5/2000,2000,1,5,1,0,0,0,0,0,0,1,9543.071429,212.319778,0.009251876,2115.876129
21,2/9/2000,2000,1,5,0,1,0,0,0,0,0,1,3355.714286,79.08313218,0.007443404,2217.64091
22,5/1/2000,2000,1,2,0,0,0,0,1,0,0,1,542.2142857,14.6682523,0.004120003,1433.381405
23,9/8/1999,1999,0,1,0,0,0,1,0,0,0,0,466.6785714,1.870995261,0.00464166,992.4916951
24,2/21/2002,2002,0,1,0,0,0,0,0,0,0,0,105.3214286,9.119319785,0.004835645,1587.449584
25,2/11/2002,2002,0,1,0,0,0,0,0,0,0,0,110.5714286,9.210454079,0.003258582,375.0029887
26,12/17/1999,1999,1,2,0,0,1,0,0,0,0,0,1435.428571,44.32295458,0.005920702,1697.210268
27,12/15/1999,1999,0,3,0,0,1,0,0,0,0,1,1413.857143,41.04464402,0.008205112,1742.689737
28,12/26/2000,2000,0,3,0,0,1,0,0,0,0,0,1019.428571,103.7072945,0.009274029,2209.136861
29,11/26/2007,2007,0,3,0,0,0,0,0,0,0,1,488.0714286,71.14385721,0.006338969,2102.98971
30,2/9/2000,2000,0,1,0,0,0,1,0,0,0,1,660.2142857,12.67468462,0.009835427,1563.003745
31,12/18/1999,1999,0,2,0,0,0,0,0,1,0,0,191.6785714,15.86788811,0.004163351,2668.863843
32,3/19/2003,2003,0,2,0,0,0,0,1,0,0,0,1208.821429,53.76583438,0.006779603,2153.354273
33,7/11/2005,2005,0,1,0,0,0,0,1,0,1,0,1249.821429,58.29954832,0.008470185,3030.255485
34,9/7/2003,2003,0,1,0,0,0,0,0,1,0,1,183.8571429,6.415022165,0.006068958,1821.754512
35,1/8/2002,2002,1,2,0,0,0,1,0,0,1,0,664.6785714,2.274328532,0.003154433,872.2791128
36,5/17/2002,2002,0,1,0,0,0,0,1,0,0,0,459.8571429,10.41615168,0.006362987,2555.006239
37,12/27/2000,2000,0,3,0,0,0,0,1,0,0,0,662.0357143,50.55281518,0.005111422,1903.578567
38,8/24/2002,2002,0,1,0,0,0,1,0,0,1,1,1731.714286,8.962380565,0.008199129,1931.171897
